contig_name	control_replicate1	control_replicate2	day1_replicate1	day1_replicate2	day2_replicate1	day2_replicate2	contig_name	annotation_information_blastx_against_UniProtKB	e-value_of_annotation_information
TRINITY_DN100041_c0_g1_i1	22.0312285904275	10.3628941263429	19.5335287508072	24.1847861289936	16.1852367435644	25.9351680187533	TRINITY_DN100041_c0_g1_i1	sp|A4FLW9|RHMD_SACEN_L-rhamnonate_dehydratase_OS=Saccharopolyspora_erythraea_(strain_NRRL_23338)_GN=rhmD_PE=3_SV=1	6e-127
TRINITY_DN100176_c0_g1_i1	42.9574599159521	52.1254874762324	49.8927470259313	61.1197776439288	72.0743344308356	78.9617148854515	-	-	-
TRINITY_DN100234_c0_g1_i1	12.7595080388906	7.22522156606279	4.28513872755004	13.9878518326991	6.97345024883857	29.9483122488537	-	-	-
TRINITY_DN100295_c0_g2_i1	62.0658072046006	65.0008223653567	99.8924466409045	49.4742696675224	74.8879537864867	55.3799264963903	TRINITY_DN100295_c0_g2_i1	sp|P40222|TXLNA_HUMAN_Alpha-taxilin_OS=Homo_sapiens_GN=TXLNA_PE=1_SV=3	7e-06
TRINITY_DN100327_c0_g1_i1	36.5958990669372	56.3281256942575	59.5255524705068	51.8183130331888	47.1696713150418	35.9126655990568	-	-	-
TRINITY_DN100352_c0_g1_i1	9.19687175178703	5.17018359151484	12.7942249197161	8.0208984674307	0	7.56399642442976	TRINITY_DN100352_c0_g1_i1	sp|Q96KC2|ARL5B_HUMAN_ADP-ribosylation_factor-like_protein_5B_OS=Homo_sapiens_GN=ARL5B_PE=1_SV=1	1e-19
TRINITY_DN100352_c0_g2_i1	3.3148757341812	8.81513069835999	6.82227248949438	10.59189632438	7.45026580093367	10.5329263417526	TRINITY_DN100352_c0_g2_i1	sp|Q9D4P0|ARL5B_MOUSE_ADP-ribosylation_factor-like_protein_5B_OS=Mus_musculus_GN=Arl5b_PE=2_SV=3	2e-61
TRINITY_DN100425_c0_g1_i1	40.1159943916655	30.7849754967117	34.6073247025955	46.1762639520985	52.2166203439772	18.617051493543	-	-	-
TRINITY_DN100593_c0_g1_i1	65.2716577271609	60.7352701726186	68.0577982480334	63.4668739433109	47.8783321245979	33.5691120788236	TRINITY_DN100593_c0_g1_i1	sp|P0A9H8|CFA_ECOL6_Cyclopropane-fatty-acyl-phospholipid_synthase_OS=Escherichia_coli_O6:H1_(strain_CFT073_/_ATCC_700928_/_UPEC)_GN=cfa_PE=3_SV=2	2e-23
TRINITY_DN100593_c0_g2_i1	86.7318971949429	95.5418807612401	68.3718952546371	77.4345248871791	69.7125349878533	82.4928858051629	TRINITY_DN100593_c0_g2_i1	sp|P0A9H8|CFA_ECOL6_Cyclopropane-fatty-acyl-phospholipid_synthase_OS=Escherichia_coli_O6:H1_(strain_CFT073_/_ATCC_700928_/_UPEC)_GN=cfa_PE=3_SV=2	2e-28
TRINITY_DN100600_c0_g1_i1	0	1.24521051546596	0	6.95421201489208	7.96643785275398	0	-	-	-
TRINITY_DN100673_c0_g1_i1	10.5157153179922	23.3453086195449	18.8723914159496	15.2698383845501	24.5524311907964	15.6499256710482	-	-	-
TRINITY_DN100690_c0_g1_i1	31.1473747835077	28.006325816711	31.4126412016144	35.1873308069868	39.6274465008232	25.1349978132398	TRINITY_DN100690_c0_g1_i1	sp|Q69SA9|PDI54_ORYSJ_Protein_disulfide_isomerase-like_5-4_OS=Oryza_sativa_subsp._japonica_GN=PDIL5-4_PE=2_SV=1	1e-48
TRINITY_DN100713_c0_g1_i1	29.736954681962	26.4201213671401	35.0212070112803	41.7363193296671	48.4805297497559	47.6481835915034	TRINITY_DN100713_c0_g1_i1	sp|P32604|F26_YEAST_Fructose-2,6-bisphosphatase_OS=Saccharomyces_cerevisiae_(strain_ATCC_204508_/_S288c)_GN=FBP26_PE=1_SV=2	1e-15
TRINITY_DN100751_c0_g2_i1	17.8963640638677	17.9982057188382	6.68487107019926	9.80055014212359	9.67750569520069	10.4466361955684	TRINITY_DN100751_c0_g2_i1	sp|P54137|NTH_CAEEL_Endonuclease_III_homolog_OS=Caenorhabditis_elegans_GN=nth-1_PE=1_SV=2	1e-52
TRINITY_DN100798_c0_g1_i1	220.997633561146	194.422180223941	213.257497903581	240.275018179089	176.96312297381	214.496201051347	-	-	-
TRINITY_DN100825_c0_g1_i1	66.3825604247983	46.6761891119876	48.3680278359809	38.2624268462616	31.0653847085741	53.2912337281078	TRINITY_DN100825_c0_g1_i1	sp|Q9SCQ2|UPL7_ARATH_E3_ubiquitin-protein_ligase_UPL7_OS=Arabidopsis_thaliana_GN=UPL7_PE=2_SV=1	4e-76
TRINITY_DN100859_c0_g1_i1	31.63203740292	26.8597284245204	21.439826077693	25.9939348971509	66.5624516191348	53.1064632488703	TRINITY_DN100859_c0_g1_i1	sp|Q20EX6|CYF_OLTVI_Apocytochrome_f_OS=Oltmannsiellopsis_viridis_GN=petA_PE=3_SV=1	1e-29
TRINITY_DN100890_c0_g1_i1	38.8436405766143	28.8664659767538	22.935767712749	34.8944724509476	17.0380012298312	27.696249845107	TRINITY_DN100890_c0_g1_i1	sp|A8G3H7|UCRI_PROM2_Cytochrome_b6-f_complex_iron-sulfur_subunit_OS=Prochlorococcus_marinus_(strain_MIT_9215)_GN=petC_PE=3_SV=1	2e-35
TRINITY_DN100926_c0_g2_i1	205.825429915354	248.741398061637	183.974923119274	232.342696869231	303.851813321401	233.260908329501	TRINITY_DN100926_c0_g2_i1	sp|A5KE24|RSSA_PLAVS_40S_ribosomal_protein_SA_OS=Plasmodium_vivax_(strain_Salvador_I)_GN=PVX_111380_PE=3_SV=1	1e-106
TRINITY_DN100996_c0_g2_i1	12.748502770026	11.2308979756746	1.29890504569473	7.34890267109182	0	0	-	-	-
TRINITY_DN101018_c0_g1_i1	67.1425903004256	33.1191970616254	68.1641602444993	52.5420463948257	35.8965895430923	33.8206868952455	-	-	-
TRINITY_DN101023_c0_g1_i1	40.6645517451371	44.2173719430886	20.345455775672	39.6300526973891	51.3953507356235	65.1799465781595	TRINITY_DN101023_c0_g1_i1	sp|O22141|GAE4_ARATH_UDP-glucuronate_4-epimerase_4_OS=Arabidopsis_thaliana_GN=GAE4_PE=1_SV=1	5e-127
TRINITY_DN101051_c0_g1_i1	17.1845566548025	23.6758875142344	22.7219844925966	12.4348454914446	33.3001084052338	19.7417421710748	TRINITY_DN101051_c0_g1_i1	sp|Q830V1|MGTE_ENTFA_Magnesium_transporter_MgtE_OS=Enterococcus_faecalis_(strain_ATCC_700802_/_V583)_GN=mgtE_PE=1_SV=1	6e-07
TRINITY_DN101057_c0_g1_i1	3.95240372279133	11.1377609520466	11.8014365407868	18.3420008593881	5.09768664073006	0	-	-	-
TRINITY_DN101073_c0_g1_i1	13.6471669460247	13.6867030986074	9.68465676258221	15.1075665845371	2.62663038306084	0	-	-	-
TRINITY_DN101136_c0_g1_i1	21.6473665874742	19.079902982883	15.7912394568757	20.1747126079366	12.8395303909899	18.4032094657289	-	-	-
TRINITY_DN101153_c0_g1_i1	102.529949726711	113.590067199667	59.8992665793351	105.105434986192	96.2162117787594	92.3297564388305	TRINITY_DN101153_c0_g1_i1	sp|P11481|TBA1_VOLCA_Tubulin_alpha-1/alpha-2_chain_OS=Volvox_carteri_GN=TUBA1_PE=3_SV=1	9e-118
TRINITY_DN101166_c0_g1_i1	200.645525675224	182.787331009826	166.776747603359	203.563173361318	185.631748454145	170.354123876152	TRINITY_DN101166_c0_g1_i1	sp|O14084|IMT1_SCHPO_Inositol_phosphoceramide_mannosyltransferase_1_OS=Schizosaccharomyces_pombe_(strain_972_/_ATCC_24843)_GN=imt1_PE=3_SV=2	1e-06
